Time after Ignition,Feather_Pillow_Feathers_R1,Feather_Pillow_Feathers_R2,Feather_Pillow_Feathers_R3,Mean,Std. Dev.
0.0,1.1,-0.3,-0.9,-0.0,1.0
0.25,1.1,-0.3,-0.9,-0.0,1.0
0.5,1.1,-0.3,-0.9,-0.0,1.0
0.75,1.1,-0.3,-0.9,-0.0,1.0
1.0,1.0,-0.3,-0.9,-0.1,1.0
1.25,0.9,-0.3,-0.8,-0.1,0.9
1.5,0.8,-0.3,-0.7,-0.1,0.8
1.75,0.7,-0.3,-0.7,-0.1,0.7
2.0,0.7,-0.3,-0.6,-0.0,0.7
2.25,0.7,-0.2,-0.5,-0.0,0.6
2.5,0.7,-0.3,-0.4,0.0,0.6
2.75,0.7,-0.2,-0.4,0.0,0.6
3.0,0.7,-0.2,-0.3,0.1,0.6
3.25,0.7,-0.2,-0.3,0.1,0.6
3.5,0.7,-0.2,-0.3,0.1,0.6
3.75,0.7,-0.2,-0.3,0.1,0.6
4.0,0.8,-0.2,-0.3,0.1,0.6
4.25,0.7,-0.2,-0.3,0.1,0.6
4.5,0.8,-0.2,-0.3,0.1,0.6
4.75,0.7,-0.2,-0.3,0.1,0.6
5.0,0.8,-0.2,-0.3,0.1,0.6
5.25,0.7,-0.2,-0.3,0.1,0.6
5.5,0.7,-0.2,-0.3,0.1,0.6
5.75,0.7,-0.2,-0.2,0.1,0.5
6.0,0.8,-0.2,-0.1,0.1,0.5
6.25,0.7,-0.2,-0.0,0.2,0.5
6.5,0.7,-0.2,0.1,0.2,0.5
6.75,0.8,-0.2,0.2,0.2,0.5
7.0,0.7,-0.2,0.2,0.2,0.5
7.25,0.9,-0.2,0.4,0.3,0.5
7.5,0.9,-0.2,0.5,0.4,0.6
7.75,1.0,-0.2,0.7,0.5,0.6
8.0,1.1,-0.2,0.8,0.6,0.7
8.25,1.3,-0.1,0.9,0.7,0.7
8.5,1.5,-0.0,1.0,0.8,0.8
8.75,1.6,0.1,1.1,0.9,0.8
9.0,1.8,0.2,1.1,1.0,0.8
9.25,3.4,0.2,1.6,1.7,1.6
9.5,4.7,0.9,2.0,2.5,2.0
9.75,6.2,1.4,2.3,3.3,2.5
10.0,7.2,1.9,2.6,3.9,2.8
10.25,8.2,2.4,6.7,5.8,3.0
10.5,13.2,2.8,10.6,8.9,5.4
10.75,18.1,6.5,13.9,12.8,5.9
11.0,22.1,9.8,17.2,16.4,6.2
11.25,25.4,12.9,26.0,21.5,7.4
11.5,31.9,15.5,34.4,27.3,10.3
11.75,32.5,23.7,42.7,33.0,9.5
12.0,40.7,31.0,48.9,40.2,8.9
12.25,49.0,37.9,59.2,48.7,10.7
12.5,54.6,42.7,69.1,55.5,13.2
12.75,62.4,48.1,78.5,63.0,15.2
13.0,71.0,54.1,86.2,70.5,16.1
13.25,81.6,58.4,92.8,77.6,17.6
13.5,86.4,70.8,101.8,86.4,15.5
13.75,93.6,75.9,112.1,93.8,18.1
14.0,104.3,87.3,123.2,105.0,18.0
14.25,116.5,94.5,128.7,113.3,17.3
14.5,123.1,103.8,135.4,120.8,15.9
14.75,127.8,113.3,141.3,127.4,14.0
15.0,136.2,120.4,146.0,134.2,12.9
15.25,138.8,128.8,153.4,140.4,12.4
15.5,150.8,137.3,160.9,149.7,11.8
15.75,160.3,146.2,163.2,156.6,9.1
16.0,165.8,150.5,168.7,161.6,9.8
16.25,173.7,157.4,179.6,170.2,11.5
16.5,180.2,159.6,186.0,175.3,13.9
16.75,181.3,168.7,190.2,180.1,10.8
17.0,187.5,170.9,193.6,184.0,11.7
17.25,194.5,173.5,199.5,189.2,13.8
17.5,200.0,175.7,207.1,194.3,16.5
17.75,206.9,180.7,212.4,200.0,16.9
18.0,214.8,183.3,219.9,206.0,19.8
18.25,212.8,184.4,221.9,206.3,19.5
18.5,221.7,192.7,230.9,215.1,20.0
18.75,223.4,192.7,236.9,217.7,22.6
19.0,226.0,197.6,241.9,221.8,22.4
19.25,232.2,199.7,248.0,226.6,24.7
19.5,233.6,203.3,258.3,231.7,27.6
19.75,234.6,205.4,265.0,235.0,29.8
20.0,237.5,208.7,273.0,239.7,32.2
20.25,242.4,214.6,279.9,245.6,32.8
20.5,239.8,218.7,282.9,247.1,32.7
20.75,243.1,226.5,,234.8,11.8
21.0,249.3,231.1,,240.2,12.9
21.25,246.9,234.2,,240.5,9.0
21.5,245.8,236.2,,241.0,6.8
21.75,250.3,243.7,,247.0,4.7
22.0,249.1,247.0,,248.1,1.5
22.25,251.2,256.7,,254.0,3.9
22.5,250.5,254.6,,252.6,3.0
22.75,252.1,260.3,,256.2,5.8
23.0,250.5,264.7,,257.6,10.0
23.25,247.7,266.1,,256.9,13.0
23.5,248.8,268.6,,258.7,14.0
23.75,248.5,276.1,,262.3,19.5
24.0,240.4,277.6,,259.0,26.3
24.25,241.4,282.9,,262.1,29.3
24.5,243.9,284.0,,263.9,28.4
24.75,245.9,,,245.9,
25.0,240.4,,,240.4,
25.25,243.2,,,243.2,
25.5,239.1,,,239.1,
25.75,237.9,,,237.9,
26.0,237.8,,,237.8,
26.25,237.9,,,237.9,
26.5,233.6,,,233.6,
26.75,240.3,,,240.3,
27.0,235.7,,,235.7,
