LABORATORY,FSRI 
TEST IDENT,Oak_Floor_HF25_3
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.042408816516399384
SPEC HOLDER DIFF,-566
SPECIMEN MASS,131.75
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5354
TIME TO IGN,177.5
END OF TEST SCAN,4874
END OF TEST TIME,1218.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.51 x 101.79 x 18.86 mm; with tie wires; joint between boards centered on sample
