0,1
#EXPORTTYPE:                 ,DATA COMPARE                             
#FILE:                       ,PE_Foam_Pipe_STA_N2_10K_220923_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ANSI                                     
#IDENTITY:                   ,PE_Foam_10K_1                            
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,DSC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F3                        
#PROJECT:                    ,NIJ 2019                                 
#DATE/TIME:                  ,9/23/2022 14:41:27 (UTC-4)               
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,22-08-2022 19:26                         
#SENSITIVITY:                ,22-08-2022 19:30                         
#LABORATORY:                 ,UL FSRI                                  
#OPERATOR:                   ,Malhar                                   
#REMARK:                     ,Polyethylene Foam Pipe Insulation        
#SAMPLE:                     ,PE_Foam_10K_1                            
#SAMPLE MASS /mg:            ,4.03                                     
#MATERIAL:                   ,Rubber Foam Pipe                         
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,235.50                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
#TAU-R:                      ,---                                      
#CORR. CODE:                 ,000                                      
#EXO:                        ,-1                                       
#RANGE:                      ,50°C....750°C/0.0....10.0K/min           
#SEGMENT:                    ,S1-4/4                                   
#SEG. 1:                     ,50°C/00:10/50°C                          
#SEG. 2:                     ,50°C/10.0(K/min)/750°C                   
#SEG. 3:                     ,750°C/00:05/750°C                        
#SEG. 4:                     ,750°C/00:10/750°C                        
