Time after Ignition,Rubber_Foam_Pipe_Insulation_R1,Rubber_Foam_Pipe_Insulation_R2,Rubber_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
0.0,79.1,77.8,79.1,78.7,0.8
0.25,92.6,90.1,97.3,93.3,3.7
0.5,105.3,99.4,115.7,106.8,8.2
0.75,120.7,117.9,132.6,123.7,7.8
1.0,134.4,133.5,127.7,131.9,3.7
1.25,148.5,143.4,139.3,143.8,4.6
1.5,164.4,159.8,152.8,159.0,5.8
1.75,172.1,170.6,164.8,169.2,3.9
2.0,183.6,173.6,176.6,177.9,5.1
2.25,199.7,190.3,183.2,191.1,8.3
2.5,197.6,192.8,199.0,196.5,3.2
2.75,207.7,203.4,208.3,206.5,2.7
3.0,213.3,209.8,208.3,210.5,2.6
3.25,219.4,216.1,216.0,217.2,1.9
3.5,223.1,221.1,220.9,221.7,1.2
3.75,229.7,226.2,227.0,227.6,1.9
4.0,235.4,229.1,232.2,232.2,3.1
4.25,241.6,232.2,235.9,236.6,4.8
4.5,242.5,233.2,245.6,240.5,6.5
4.75,242.6,244.8,245.6,244.3,1.6
5.0,253.9,242.7,245.8,247.4,5.8
5.25,246.8,244.2,245.4,245.5,1.3
5.5,255.0,247.1,247.5,249.9,4.4
5.75,255.2,245.6,248.3,249.7,4.9
6.0,260.5,247.6,251.1,253.1,6.7
6.25,260.7,248.4,255.9,255.0,6.2
6.5,261.7,244.0,253.4,253.0,8.8
6.75,266.2,244.3,250.8,253.8,11.3
7.0,265.6,243.8,255.3,254.9,10.9
7.25,271.3,244.1,256.6,257.3,13.6
7.5,272.0,243.8,258.5,258.1,14.1
7.75,267.9,244.0,253.3,255.0,12.1
8.0,273.7,241.8,259.4,258.3,16.0
8.25,273.1,241.5,260.9,258.5,15.9
8.5,273.2,239.7,254.1,255.7,16.8
8.75,272.4,236.6,257.7,255.5,18.0
9.0,263.5,235.7,256.2,251.8,14.4
9.25,272.6,232.4,254.4,253.1,20.1
9.5,268.1,236.9,255.7,253.6,15.7
9.75,277.5,237.1,258.4,257.7,20.3
10.0,273.7,235.6,253.1,254.1,19.1
10.25,270.6,236.8,253.8,253.7,16.9
10.5,273.1,236.6,259.2,256.3,18.4
10.75,270.6,237.4,257.6,255.2,16.7
11.0,269.5,229.9,263.4,254.3,21.3
11.25,276.7,233.6,266.8,259.0,22.5
11.5,277.2,230.2,262.7,256.7,24.1
11.75,276.5,232.1,268.0,258.9,23.6
12.0,277.8,227.6,266.3,257.2,26.3
12.25,282.2,230.1,267.6,260.0,26.9
12.5,283.8,231.7,268.5,261.3,26.8
12.75,291.1,229.7,272.2,264.3,31.4
13.0,290.6,231.5,273.8,265.3,30.4
13.25,287.3,227.7,276.4,263.8,31.7
13.5,286.4,225.4,276.4,262.7,32.7
13.75,290.3,225.2,280.0,265.2,35.0
14.0,293.7,227.5,279.0,266.7,34.8
14.25,296.0,226.6,283.6,268.7,37.0
14.5,291.7,224.2,283.9,266.6,36.9
14.75,299.7,225.5,283.0,269.4,39.0
15.0,294.0,224.5,282.3,266.9,37.2
15.25,295.9,225.4,280.0,267.1,37.0
15.5,297.1,218.8,278.9,264.9,41.0
15.75,295.3,221.5,268.9,261.9,37.4
16.0,299.9,214.2,270.6,261.6,43.6
16.25,298.7,216.6,276.2,263.8,42.4
16.5,295.5,219.2,277.5,264.1,39.9
16.75,295.5,214.0,282.5,264.0,43.8
17.0,291.1,216.7,280.5,262.8,40.2
17.25,293.8,217.1,280.2,263.7,40.9
17.5,289.2,220.4,277.5,262.3,36.8
17.75,287.1,216.5,276.4,260.0,38.1
18.0,287.3,215.0,275.8,259.3,38.8
18.25,281.2,214.4,272.6,256.0,36.3
18.5,280.0,217.0,270.5,255.8,34.0
18.75,275.5,218.3,269.3,254.4,31.4
19.0,272.7,217.4,265.9,252.0,30.2
19.25,272.9,217.1,264.1,251.4,30.0
19.5,269.1,212.5,266.0,249.2,31.8
19.75,267.2,215.6,262.4,248.4,28.5
20.0,261.1,213.7,255.5,243.4,25.9
20.25,257.2,208.3,255.5,240.3,27.7
20.5,256.8,215.2,251.6,241.2,22.7
20.75,254.9,212.9,248.0,238.6,22.5
21.0,247.2,208.2,247.6,234.3,22.6
21.25,244.8,211.9,241.5,232.7,18.1
21.5,242.3,207.4,241.8,230.5,20.0
21.75,239.6,207.5,243.2,230.1,19.6
22.0,234.2,207.6,239.5,227.1,17.1
22.25,230.8,202.7,232.8,222.1,16.9
22.5,227.6,204.1,232.3,221.3,15.1
22.75,224.5,200.2,229.2,217.9,15.5
23.0,219.0,199.5,226.9,215.2,14.1
23.25,217.4,202.0,222.5,214.0,10.7
23.5,211.3,199.1,216.4,208.9,8.9
23.75,207.4,199.4,218.4,208.4,9.5
24.0,207.1,194.4,210.7,204.1,8.6
24.25,201.2,193.3,207.4,200.6,7.1
24.5,196.9,194.9,205.7,199.2,5.7
24.75,191.2,191.8,202.1,195.0,6.1
25.0,184.4,193.2,202.1,193.2,8.9
25.25,179.2,192.5,198.6,190.1,9.9
25.5,176.5,189.5,195.4,187.1,9.6
25.75,171.3,186.2,192.1,183.2,10.7
26.0,163.6,189.6,194.9,182.7,16.7
26.25,162.6,185.2,187.7,178.5,13.8
26.5,157.1,185.8,185.2,176.0,16.4
26.75,154.7,180.4,178.4,171.2,14.3
27.0,149.5,182.3,176.4,169.4,17.5
27.25,145.7,177.4,173.1,165.4,17.2
27.5,142.7,171.6,170.3,161.6,16.3
27.75,140.8,172.1,166.5,159.8,16.7
28.0,138.9,168.8,162.7,156.8,15.8
28.25,135.8,167.7,158.6,154.0,16.4
28.5,130.9,165.5,154.0,150.2,17.6
28.75,128.5,165.3,152.8,148.9,18.7
29.0,124.8,166.3,147.8,146.3,20.8
29.25,119.3,161.5,146.7,142.5,21.4
29.5,115.3,160.2,140.6,138.7,22.5
29.75,113.3,157.7,139.5,136.8,22.3
30.0,109.9,154.1,137.1,133.7,22.3
30.25,105.6,151.4,136.3,131.1,23.3
30.5,104.1,147.3,131.7,127.7,21.9
30.75,100.8,145.5,129.1,125.1,22.7
31.0,97.8,141.7,125.3,121.6,22.2
31.25,94.5,144.0,124.5,121.0,24.9
31.5,90.9,136.9,121.3,116.4,23.4
31.75,88.9,134.0,120.8,114.6,23.2
32.0,86.5,132.9,117.3,112.2,23.6
32.25,84.3,129.1,113.7,109.0,22.7
32.5,81.0,126.8,112.4,106.7,23.4
32.75,79.3,123.9,108.2,103.8,22.6
33.0,77.4,123.8,106.9,102.7,23.5
33.25,74.5,121.6,102.7,99.6,23.7
33.5,71.2,120.1,103.3,98.2,24.8
33.75,71.3,119.5,100.9,97.2,24.3
